GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
0500000US06073,06073,"San Diego County, California",1307266,15275,28411,3468,109690,6906,187423,8322,222330,8282,238230,8147,97590,5448,195839,7773,33188,3451,47301,3643,73740,4854,47749,3203,25775,2841
0500000US06075,06075,"San Francisco County, California",408594,6738,4801,1626,14814,2317,38186,3237,56972,4890,58015,4618,29697,3365,80710,5369,14036,2108,21716,3102,46261,4288,33901,3464,9485,1666
0500000US06077,06077,"San Joaquin County, California",242350,5879,7127,1197,24017,2649,39766,3626,42205,3814,31587,3448,12863,2386,25368,3170,4337,998,4924,1215,16624,2267,18435,2533,15097,2200
0500000US06079,06079,"San Luis Obispo County, California",108663,4330,5560,1456,20007,2396,19933,2865,17466,2255,16284,2289,4937,1305,9406,1733,1745,681,2546,754,6380,1549,1920,707,2479,797
0500000US06081,06081,"San Mateo County, California",334962,5920,6305,1484,28186,3109,46405,3710,55333,4786,57061,4251,20503,2210,52195,3967,8195,1698,15798,2420,25947,2623,15516,1713,3518,823
0500000US06083,06083,"Santa Barbara County, California",172147,3954,8268,2130,30318,2616,37114,2960,31192,3040,20477,2374,5076,1217,15449,2555,2472,914,2566,903,9657,1616,6997,1931,2561,671
0500000US06085,06085,"Santa Clara County, California",771487,8481,10998,1903,56667,3892,102738,5465,143021,6391,142116,6253,55579,4149,121089,7091,19156,2081,28853,3128,46205,3744,34876,3352,10189,1662
0500000US06087,06087,"Santa Cruz County, California",107590,7091,3798,1144,9429,1563,19372,3054,17330,2772,14773,2465,4194,1041,11674,2173,2084,859,5773,1411,9862,2124,7023,1460,2278,738
0500000US06089,06089,"Shasta County, California",58215,3681,1842,664,9341,1990,12861,1625,14447,1983,8601,1738,1837,683,4167,1058,536,432,516,282,1011,518,1496,905,1560,779
0500000US06095,06095,"Solano County, California",172152,6065,3416,1313,19302,2554,27376,3280,23631,2328,21220,2549,7353,1526,19998,2395,4768,1217,6883,1262,15658,2412,14188,2118,8359,1648
0500000US06097,06097,"Sonoma County, California",201751,5731,6406,1411,23978,3050,36262,3074,29866,3022,28167,2726,9794,1860,21117,2661,4500,990,6218,1300,14493,1858,12130,1853,8820,1685
0500000US06099,06099,"Stanislaus County, California",184231,5347,6921,1417,22721,2931,28602,2872,32027,3032,23367,2577,11171,1974,22067,3080,3539,815,4972,1149,9994,1840,8092,1883,10758,2088
0500000US06101,06101,"Sutter County, California",34806,2527,1728,796,3788,1035,5847,1248,5560,1413,3182,917,1590,653,2081,766,878,577,950,496,4301,1475,2773,971,2128,894
0500000US06107,06107,"Tulare County, California",160476,4187,9801,1602,27283,3772,28724,2928,21773,2725,20638,2378,7273,1494,18641,2012,2963,1143,5014,1167,10154,1829,6636,1223,1576,622
0500000US06111,06111,"Ventura County, California",358344,8008,8249,1609,43991,3869,57004,4529,61621,4464,54783,4682,19995,2269,44117,3986,7386,1473,10991,2342,22843,2663,18387,2233,8977,2003
0500000US06113,06113,"Yolo County, California",81541,6234,3256,1003,10556,1582,16583,2461,11438,1572,11882,2027,4601,1038,9683,2156,2322,823,2283,644,4161,1079,2887,1020,1889,744
0500000US06115,06115,"Yuba County, California",24505,2468,960,498,3071,1061,2969,806,3201,985,2995,1030,1179,460,3063,965,433,257,1002,518,3098,988,1554,657,980,595
0500000US08001,08001,"Adams County, Colorado",196761,4426,2123,563,11352,1960,21107,2289,25500,2424,33016,3063,13742,1962,38408,3376,7290,1421,10382,1719,19187,2481,10402,1609,4252,913
0500000US08005,08005,"Arapahoe County, Colorado",271950,5118,4766,1184,17753,2565,32840,2946,34947,2877,41369,3145,26372,3152,51595,3750,7366,1164,13327,2043,27608,3263,9802,1440,4205,1138
0500000US08013,08013,"Boulder County, Colorado",134684,3708,4459,1286,15811,2105,27559,3106,20427,2117,20272,2014,9490,1677,12818,1526,3253,632,5687,1088,8441,1785,4689,1069,1778,712
0500000US08031,08031,"Denver County, Colorado",277824,5692,4731,1197,20425,2222,36317,3362,54075,3658,50452,3297,19831,2851,43964,3429,7349,1590,8457,1509,18289,2166,9592,1718,4342,1102
0500000US08035,08035,"Douglas County, Colorado",131567,3178,2328,872,10772,1824,14770,2072,18316,2470,20273,2176,9346,1471,20894,2180,5646,1297,6171,1191,14049,2023,6697,1383,2305,727
0500000US08041,08041,"El Paso County, Colorado",277877,5809,11615,1859,31075,3338,45587,3560,52265,3923,51396,3806,17848,1971,35284,3312,5074,1156,5525,1317,11258,1734,6536,1342,4414,1107
