GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01254,01254,"ZIP 01254 (Richmond, MA)",00,Total for all sectors,2010,32,87,665,3080
8610000US01255,01255,"ZIP 01255 (Sandisfield, MA)",00,Total for all sectors,2010,20,100,787,4341
8610000US01256,01256,"ZIP 01256 (Savoy, MA)",00,Total for all sectors,2010,4,11,106,523
8610000US01257,01257,"ZIP 01257 (Sheffield, MA)",00,Total for all sectors,2010,109,900,9258,41431
8610000US01258,01258,"ZIP 01258 (South Egremont, MA)",00,Total for all sectors,2010,36,252,1365,5035
8610000US01259,01259,"ZIP 01259 (Southfield, MA)",00,Total for all sectors,2010,23,b,494,2978
8610000US01260,01260,"ZIP 01260 (South Lee, MA)",00,Total for all sectors,2010,13,779,6577,33854
8610000US01262,01262,"ZIP 01262 (Stockbridge, MA)",00,Total for all sectors,2010,78,893,7125,33533
8610000US01264,01264,"ZIP 01264 (Tyringham, MA)",00,Total for all sectors,2010,2,a,D,D
8610000US01266,01266,"ZIP 01266 (West Stockbridge, MA)",00,Total for all sectors,2010,56,177,1172,6498
8610000US01267,01267,"ZIP 01267 (Williamstown, MA)",00,Total for all sectors,2010,223,4137,32242,152859
8610000US01270,01270,"ZIP 01270 (Windsor, MA)",00,Total for all sectors,2010,12,26,212,919
8610000US01301,01301,"ZIP 01301 (Greenfield, MA)",00,Total for all sectors,2010,567,7797,58905,254230
8610000US01302,01302,"ZIP 01302 (Greenfield, MA)",00,Total for all sectors,2010,27,424,4783,21143
8610000US01330,01330,"ZIP 01330 (Ashfield, MA)",00,Total for all sectors,2010,33,143,731,3619
8610000US01331,01331,"ZIP 01331 (Athol, MA)",00,Total for all sectors,2010,211,3082,22903,101586
8610000US01337,01337,"ZIP 01337 (Bernardston, MA)",00,Total for all sectors,2010,51,247,1355,7605
8610000US01338,01338,"ZIP 01338 (Buckland, MA)",00,Total for all sectors,2010,12,129,556,2747
8610000US01339,01339,"ZIP 01339 (Charlemont, MA)",00,Total for all sectors,2010,32,275,1267,5009
8610000US01340,01340,"ZIP 01340 (Colrain, MA)",00,Total for all sectors,2010,18,108,871,3656
8610000US01341,01341,"ZIP 01341 (Conway, MA)",00,Total for all sectors,2010,28,112,734,3675
8610000US01342,01342,"ZIP 01342 (Deerfield, MA)",00,Total for all sectors,2010,27,720,6600,29903
8610000US01343,01343,"ZIP 01343 (Drury, MA)",00,Total for all sectors,2010,1,a,D,D
8610000US01344,01344,"ZIP 01344 (Erving, MA)",00,Total for all sectors,2010,15,c,D,D
8610000US01346,01346,"ZIP 01346 (Heath, MA)",00,Total for all sectors,2010,4,13,50,205
8610000US01347,01347,"ZIP 01347 (Lake Pleasant, MA)",00,Total for all sectors,2010,1,a,D,D
8610000US01349,01349,"ZIP 01349 (Millers Falls, MA)",00,Total for all sectors,2010,9,34,208,771
8610000US01350,01350,"ZIP 01350 (Monroe Bridge, MA)",00,Total for all sectors,2010,2,a,D,D
